address,name,kind,status,notes
0x0001fc00,send_lay_realtime,original-symbol,verified,Shipped i960 symbol table record 181; supersedes provisional name camera_mode_dispatch
0x0001fcc0,change_scene,original-symbol,verified,Shipped i960 symbol table record 182; supersedes provisional name display_profile_apply
0x0001fee4,set_default_rob_light,original-symbol,verified,Shipped i960 symbol table record 183; supersedes provisional name display_profile_unit_fill
0x00020064,stage_disp,original-symbol,verified,Shipped i960 symbol table record 184
0x00020400,mirror_disp,original-symbol,verified,Shipped i960 symbol table record 185
0x00020488,mirror_rob_disp,original-symbol,verified,Shipped i960 symbol table record 186
0x00020708,ground_disp,original-symbol,verified,Shipped i960 symbol table record 187
0x000214dc,area_check,original-symbol,verified,Shipped i960 symbol table record 188; supersedes provisional name camera_classify_range
0x0002173c,make_kage_matrix,original-symbol,verified,Shipped i960 symbol table record 189
0x00021864,name_char_disp,original-symbol,verified,Shipped i960 symbol table record 190
0x00021904,name_char_kage_disp,original-symbol,verified,Shipped i960 symbol table record 191
0x000221e8,collision,original-symbol,verified,Shipped i960 symbol table record 192
0x00023398,dck_special_check,original-symbol,verified,Shipped i960 symbol table record 193
0x000233d0,decide_coli_kind,original-symbol,verified,Shipped i960 symbol table record 194
0x00023524,coli_cont_cop,original-symbol,verified,Shipped i960 symbol table record 195
0x0002364c,decide_dir,original-symbol,verified,Shipped i960 symbol table record 196
0x00023694,coli_recalc_pos,original-symbol,verified,Shipped i960 symbol table record 197
0x00023878,area_flag_conv_sub,original-symbol,verified,Shipped i960 symbol table record 198
0x000238a4,calc_attack_flag,original-symbol,verified,Shipped i960 symbol table record 199
0x000238f8,coli_flag_conv,original-symbol,verified,Shipped i960 symbol table record 200
0x0002396c,area_coli,original-symbol,verified,Shipped i960 symbol table record 201
0x00024568,Calc_pos,original-symbol,verified,Shipped i960 symbol table record 202
0x00027130,smooth_int,original-symbol,verified,Shipped i960 symbol table record 203
0x0002776c,rear_smooth_int,original-symbol,verified,Shipped i960 symbol table record 204
0x00027ce0,calc_rob_angle,original-symbol,verified,Shipped i960 symbol table record 205
0x00027d04,calc_rob_angle_cont,original-symbol,verified,Shipped i960 symbol table record 206
0x00028184,get_frame_dat,original-symbol,verified,Shipped i960 symbol table record 207
0x00028780,get_start_value,original-symbol,verified,Shipped i960 symbol table record 208
0x00028848,get_end_value,original-symbol,verified,Shipped i960 symbol table record 209
0x00028918,get_fcurve_value,original-symbol,verified,Shipped i960 symbol table record 210
0x0002891c,get_fcurve_value_f,original-symbol,verified,Shipped i960 symbol table record 211
0x00028af8,set_mirror,original-symbol,verified,Shipped i960 symbol table record 212
0x0002901c,calc_unit_1,original-symbol,verified,Shipped i960 symbol table record 213
0x00029414,adj_taikaku,original-symbol,verified,Shipped i960 symbol table record 214
0x0002954c,chk_slow_stage,original-symbol,verified,Shipped i960 symbol table record 215
0x000295fc,chk_ai_stage,original-symbol,verified,Shipped i960 symbol table record 216
0x00029648,chk_ai_switch,original-symbol,verified,Shipped i960 symbol table record 217
0x0002eed0,happa_disp,original-symbol,verified,Shipped i960 symbol table record 218
0x0002f138,happa_lp_01,original-symbol,verified,Shipped i960 symbol table record 219
0x0002fa14,yasi_disp,original-symbol,verified,Shipped i960 symbol table record 220
0x000313d8,chk_input,original-symbol,verified,Shipped i960 symbol table record 221
0x00031adc,sel_disp,original-symbol,verified,Shipped i960 symbol table record 222
0x00032090,select_init,original-symbol,verified,Shipped i960 symbol table record 223
0x000324a0,select_pl,original-symbol,verified,Shipped i960 symbol table record 224
0x000324d0,sel_pl_p2,original-symbol,verified,Shipped i960 symbol table record 225
0x000327cc,sel_pl_p2r,original-symbol,verified,Shipped i960 symbol table record 226
0x00032ac8,sel_pl_p2l,original-symbol,verified,Shipped i960 symbol table record 227
0x00032c7c,sel_pl_p2_go,original-symbol,verified,Shipped i960 symbol table record 228
0x00032c94,sel_pl_p2_nise_add_skip,original-symbol,verified,Shipped i960 symbol table record 229
0x00033480,sel_pl_p1_nise_add_skip,original-symbol,verified,Shipped i960 symbol table record 230
0x00039c40,key_rec_init,original-symbol,verified,Shipped i960 symbol table record 231
0x00039c6c,key_rec_disp,original-symbol,verified,Shipped i960 symbol table record 232
0x00039d0c,key_play_init,original-symbol,verified,Shipped i960 symbol table record 233
0x00039d5c,key_play_disp,original-symbol,verified,Shipped i960 symbol table record 234
0x00039e34,save_ending_rep_data,original-symbol,verified,Shipped i960 symbol table record 235
